"id:ID",":LABEL","caption","name","country","legalForm","status","address","alephUrl","bvdId","classification","mainCountry","dunsCode","description","dissolutionDate","email","icijId","idNumber","innCode","incorporationDate","jurisdiction","keywords","modifiedAt","notes","okpoCode","opencorporatesUrl","alias","phone","previousName","program","publisher","publisherUrl","registrationNumber","retrievedAt","swiftBic","sector","sourceUrl","summary","taxNumber","taxStatus","topics","vatCode","weakAlias","website","wikidataId","wikipediaUrl"
"entity:019e4aca6c1d234dae3cabaf49bf3891f3186fc7","Organization;LegalEntity;Thing","Donaukanaltreiben -Verein zur Förderung des Kultur-und Freizeitangebotes am Donaukanal","Donaukanaltreiben -Verein zur Förderung des Kultur-und Freizeitangebotes am Donaukanal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:01ac5f57088c2dfe825acb86d29ab6802333d797","Organization;LegalEntity;Thing","Vereinigung Österreichischer Ärztinnen und Ärzte, Landesgruppe Wien (VÖA- Landesgruppe)","Vereinigung Österreichischer Ärztinnen und Ärzte, Landesgruppe Wien (VÖA- Landesgruppe)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://vereinigung.at/","",""
"entity:01f8f93ca3ecd27789a14916ce87cbaceceef2e7","Organization;LegalEntity;Thing","Sozial- und Gesundheitssprengel Imst und Umgebung","Sozial- und Gesundheitssprengel Imst und Umgebung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.sozialsprengel-imst.at/","",""
"entity:022a683f61619f89fef636997001f23c2f25ebcf","Organization;LegalEntity;Thing","Verein zur Forschungsförderung der Krebshilfe Oberösterreich","Verein zur Forschungsförderung der Krebshilfe Oberösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.krebshilfe-ooe.at/","",""
"entity:025eb20a0e950e0f2aadfb4e0ae0ad769dd0d1ae","Organization;LegalEntity;Thing","Landentwicklung Steiermark","Landentwicklung Steiermark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:027c8ae917e5c75dd9b68aef8b91e192c1afeac6","Organization;LegalEntity;Thing","Dorfgemeinschaft Bodensdorf","Dorfgemeinschaft Bodensdorf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:02b38769600a5191e72a268c8f0bc59e6f972ef5","Organization;LegalEntity;Thing","Energieagentur der Regionen (RENA)","Energieagentur der Regionen (RENA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://kunden.wvnet.at/energieagentur/","",""
"entity:02eb5c4af5eb2903da69d08266b8387dbf21333b","Organization;LegalEntity;Thing","ÖSTERREICHISCHER SCHWIMMVERBAND (OSV)","ÖSTERREICHISCHER SCHWIMMVERBAND (OSV)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.osv.or.at/","",""
"entity:031862baee22afadd7063ed8dd9878ced5afc18a","Organization;LegalEntity;Thing","Tiroler Plattform für Alleinerziehende","Tiroler Plattform für Alleinerziehende","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.alleinerziehende-tirol.net/","",""
"entity:031d9602fb543292670172e0f452faaf840f6e74","Organization;LegalEntity;Thing","Freunde des Nationalpark Kalkalpen und seiner Region","Freunde des Nationalpark Kalkalpen und seiner Region","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:032f4edc3242184640abd10672798fc843e2bccb","Organization;LegalEntity;Thing","Österreichische Kinderfreunde (Landesorganisation Niederösterreich)","Österreichische Kinderfreunde (Landesorganisation Niederösterreich)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.noe.kinderfreunde.at/Bundeslaender/Niederoesterreich","",""
"entity:03358933e7200c3b6045057d626d05164caac446","Organization;LegalEntity;Thing","ELTERNVEREIN an der Ganztagsvolksschule, Reichsapfelgasse 30, 1150 Wien","ELTERNVEREIN an der Ganztagsvolksschule, Reichsapfelgasse 30, 1150 Wien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:037893d8e01e055e609b2ac843d10405dadc48dd","Organization;LegalEntity;Thing","Verein zur Sanierung der Kapellen des Kalvarienberges Arzl","Verein zur Sanierung der Kapellen des Kalvarienberges Arzl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:03d46706e15415f1dca6cc1acc1ad2cd170c65c4","Organization;LegalEntity;Thing","Österreichische Kinderfreunde - Bezirksorganisation BRIGITTENAU","Österreichische Kinderfreunde - Bezirksorganisation BRIGITTENAU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://wien.kinderfreunde.at/Bundeslaender/Wien/20/Brigittenau","",""
"entity:040cb5f1e8976e9ed885829f30c38356bc2ca3a4","Organization;LegalEntity;Thing","Sportgemeinschaft Tigring","Sportgemeinschaft Tigring","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:041242d2307f86d3cc83bdd2fbcb1452a253c005","Organization;LegalEntity;Thing","Kulturverein Lebenswertes Floridsdorf","Kulturverein Lebenswertes Floridsdorf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:04404d66c42ea49be8e9ade1ee18c412bc4fa3f6","Organization;LegalEntity;Thing","Landesskiverband Kärnten ""LSVK""","Landesskiverband Kärnten ""LSVK""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.skiverband-kaernten.at/","",""
"entity:045dad5630b5a449dc06d4ca74814839944a8ac1","Organization;LegalEntity;Thing","Schützengesellschaft Marchtrenk","Schützengesellschaft Marchtrenk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.sport-marchtrenk.at/schuetzengesellschaft-marchtrenk/","",""
"entity:047e5a792a155da4d432baf9b1bf3e220730ead1","Organization;LegalEntity;Thing","Hüttschlager Herreiter und Klöcker","Hüttschlager Herreiter und Klöcker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0491886e31403320d066f613aeea741d926d8d2d","Organization;LegalEntity;Thing","management club Niederösterreich","management club Niederösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.managementclub.at/","",""
"entity:04e2d2e85a6bf5049ce42ec0a7fddf9a4d348d91","Organization;LegalEntity;Thing","Bund der Steuerzahler, abgekürzt ""BdSt""","Bund der Steuerzahler, abgekürzt ""BdSt""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.steuerzahler.at/","",""
"entity:04f4b830760452977062f69852491908ead0d36c","Organization;LegalEntity;Thing","Vorarlberger Mittelschülercartellverband (VMCV)","Vorarlberger Mittelschülercartellverband (VMCV)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.vmcv.at/","",""
"entity:0524146abf18d7a5fd4bb05aabe5c3584b535afe","Organization;LegalEntity;Thing","Wiens Favoriten - Einkaufen nebenan","Wiens Favoriten - Einkaufen nebenan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.wiens-favoriten.at/","",""
"entity:0532528fc779c5e15db958274f9835fd0aa5674a","Organization;LegalEntity;Thing","Wiener Hilfswerk (kurz: WHW)","Wiener Hilfswerk (kurz: WHW)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.hilfswerk.at/wien/","",""
"entity:054c2264f8bda8e0980632237ec8a179f452464f","Organization;LegalEntity;Thing","Österreichisch-Italienische Gesellschaft, Gesellschaft zur Pflege der politischen, kulturellen,wirtschaftlichen und menschlichen Beziehungen zwischen Österreich und Italien","Österreichisch-Italienische Gesellschaft, Gesellschaft zur Pflege der politischen, kulturellen,wirtschaftlichen und menschlichen Beziehungen zwischen Österreich und Italien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:05547864f82c9e4c29edcdc5fe58b45057953343","Organization;LegalEntity;Thing","Selbsthilfe Vorarlberg Service- und Kontaktstelle","Selbsthilfe Vorarlberg Service- und Kontaktstelle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://selbsthilfe-vorarlberg.at/","",""
"entity:0574429ceead5e79d9395b08b7750a5d82a46f6c","Organization;LegalEntity;Thing","Förderverein der Volkshochschule Donaustadt - Donau VHS","Förderverein der Volkshochschule Donaustadt - Donau VHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:058165fff61fe88dcf6d00b1bae3471b98c7cf55","Organization;LegalEntity;Thing","Verein zur Förderung fortschrittlicher Politik","Verein zur Förderung fortschrittlicher Politik","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:058f7e8b2cfefcb681709734ebf9a411569de512","Organization;LegalEntity;Thing","Elternverein der VS - Attersee","Elternverein der VS - Attersee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:05b27a3f8f73fce09dbcfa8f60d8d4f7cb6740de","Organization;LegalEntity;Thing","Regionalentwicklung Außerfern - REA","Regionalentwicklung Außerfern - REA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.allesausserfern.at/","",""
"entity:05d084aa0a5c44d56226e790f04541b7ec7cd3eb","Organization;LegalEntity;Thing","Österreichische Unternehmerakademie","Österreichische Unternehmerakademie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:066d6d9d4d33e890b8773b84789006dbebf29fc1","Organization;LegalEntity;Thing","Landwirtschaftlicher Schulverein des Landes Salzburg","Landwirtschaftlicher Schulverein des Landes Salzburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:067a8f1e2c1bfd28e0eb9e665c6fc7a5cf423590","Organization;LegalEntity;Thing","Österreichische Energieagentur - Austrian Energy Agency","Österreichische Energieagentur - Austrian Energy Agency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.energyagency.at/","",""
"entity:06a5d464acbaf0beef4edc55eda27ba37e16a553","Organization;LegalEntity;Thing","Volkshochschule Mödling","Volkshochschule Mödling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.vhs-moedling.at/asp/default.asp","",""
"entity:06a80d8a3c036ee1e7e099e8421adb2ae9395309","Organization;LegalEntity;Thing","Volkshilfe Bezirksverein Freistadt","Volkshilfe Bezirksverein Freistadt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:06ec061dee811c2bfbdd4cdb5bce5f975034e0dd","Organization;LegalEntity;Thing","Crazy Chicken","Crazy Chicken","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.facebook.com/crazy.chicken.at/","",""
"entity:0707f35be7582809db4d46648554238fe210cca4","Organization;LegalEntity;Thing","Anliegen für Österreich","Anliegen für Österreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.mein-anliegen.at/","",""
"entity:0745f9b739d76526fab2dd829283d03bd9ee1ad7","Organization;LegalEntity;Thing","Plattform CHRISTDEMOKRATIE","Plattform CHRISTDEMOKRATIE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://christdemokratie.at/","",""
"entity:07562c6ab8778251cd5ddfc1708bafd83714e43b","Organization;LegalEntity;Thing","Kompetenzzentrum Sicheres Österreich (KSÖ)","Kompetenzzentrum Sicheres Österreich (KSÖ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0769dd77e767c6892000e42ed5ef09db3c123408","Organization;LegalEntity;Thing","RED BIKER - Sozialdemokratischer Motorradclub","RED BIKER - Sozialdemokratischer Motorradclub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.redbiker.at/","",""
"entity:077872e3a42ffdc7c1be585c336cfb48ce244d60","Organization;LegalEntity;Thing","Österreichischen Milizverband Salzburg (ÖMS)","Österreichischen Milizverband Salzburg (ÖMS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:078b23766f578988a6f8dd7e81df851605168869","Organization;LegalEntity;Thing","Charly & Frances - Verein für Studierende","Charly & Frances - Verein für Studierende","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://unistore.uni-graz.at/de/charly-frances/","",""
"entity:078b8b7b84089ca5a7cb30c93b8b28320898a885","Organization;LegalEntity;Thing","Österreichischer Gewerbeverein","Österreichischer Gewerbeverein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.gewerbeverein.at/","",""
"entity:07a5e3311fe38ec04292c1a5e5520236bb44d3dd","Organization;LegalEntity;Thing","Pendlerforum Burgenland","Pendlerforum Burgenland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:07ad0bd2765d037484704406603b1b084d3b31a7","Organization;LegalEntity;Thing","Nightline Murtal","Nightline Murtal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://nightlinemurtal.wordpress.com/","",""
"entity:07cd70cd9c05bbfac266be3af804c6230e4b6ff9","Organization;LegalEntity;Thing","Sooo gut schmeckt die Bucklige Welt","Sooo gut schmeckt die Bucklige Welt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.buckligewelt.at/system/web/default.aspx","",""
"entity:07e6a77bd1781927a1d9d46588eb8981fe723afb","Organization;LegalEntity;Thing","I love Graz - Verein zur Förderung des Grazbewusstseins","I love Graz - Verein zur Förderung des Grazbewusstseins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:081e78a6bf95ead3933d4194d5cd1e4b740e5949","Organization;LegalEntity;Thing","FK Austria Wien","FK Austria Wien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.fk-austria.at/","",""
"entity:082e3d8cbe7cb5e96c77b80a976d617fb4e0f1f1","Organization;LegalEntity;Thing","Kultur- und Sportverein Fräuleinwunder","Kultur- und Sportverein Fräuleinwunder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:083898f8559717e2b6fe89a0071389376fab5560","Organization;LegalEntity;Thing","Gesellschaft österreichischer Kinderdörfer in Niederösterreich","Gesellschaft österreichischer Kinderdörfer in Niederösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:08a158202f51c18c74bbfadbf95d0b6516cd7ae7","Organization;LegalEntity;Thing","""Kulturinitiative Wiener Angestellte"", gemeinnütziger Verein","""Kulturinitiative Wiener Angestellte"", gemeinnütziger Verein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:08e88eb27702187d415c59cf2c4c73bb4a3e7f8a","Organization;LegalEntity;Thing","VEREIN ESSEN AUF RÄDERN","VEREIN ESSEN AUF RÄDERN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://pflege.fsw.at/pflege-zu-hause/essen_auf_raedern.html","",""
"entity:0938a66e4f8efe8be9a822bf4fcd698229925eee","Organization;LegalEntity;Thing","Sportverein Zams","Sportverein Zams","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.sv-zams.at/","",""
"entity:093ab5be2072adcf25371fd871eb322572248ea7","Organization;LegalEntity;Thing","Leader Region Nationalpark Oö. Kalkalpen","Leader Region Nationalpark Oö. Kalkalpen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.leader-kalkalpen.at/","",""
"entity:093f7dd878f417d18c5cad5515575fc721aa62c1","Organization;LegalEntity;Thing","Waldwirtschaftsgemeinschaft Bernsteiner Hügelland","Waldwirtschaftsgemeinschaft Bernsteiner Hügelland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:09685804433dcfddca990f80512e9fd8e16752ea","Organization;LegalEntity;Thing","Österreichische Gesellschaft für Kulturgüterschutz","Österreichische Gesellschaft für Kulturgüterschutz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://kulturgueterschutz.wordpress.com/oesterreichische-gesellschaft-fuer-kulturgueterschutz-oegks/","",""
"entity:097b48257d027d2e94e5a827671270fb3fee97f2","Organization;LegalEntity;Thing","Österreichisches Olympisches Comité","Österreichisches Olympisches Comité","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.oeoc.at/","",""
"entity:098a52cd297b32fb4063556e05226c6cd0a01c27","Organization;LegalEntity;Thing","Österreichisches Rotes Kreuz, Landesverband Niederösterreich","Österreichisches Rotes Kreuz, Landesverband Niederösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.roteskreuz.at/niederoesterreich/","",""
"entity:09958ed86f64121416e44b97e7d1af290c5960f4","Organization;LegalEntity;Thing","REGIOnalplanungsgemeinschaft Bregenzerwald","REGIOnalplanungsgemeinschaft Bregenzerwald","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.regiobregenzerwald.at/","",""
"entity:09a1242d985c856b8ebea97bb3732e2e68668928","Organization;LegalEntity;Thing","Technisch-gewerbliche Lehranstalt Lienz","Technisch-gewerbliche Lehranstalt Lienz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://htl-lienz.tsn.at/htl/downloads/","",""
"entity:09da33ab3a18dadedb431b870f70a4320a98da19","Organization;LegalEntity;Thing","Frauenbetreuungs- und Frauenservicestellen BABSI","Frauenbetreuungs- und Frauenservicestellen BABSI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.babsi-frauenberatungsstelle.at/","",""
"entity:09e014cee1f860046b144eaac3775e0424f601cd","Organization;LegalEntity;Thing","Frauenhaus Mühlviertel","Frauenhaus Mühlviertel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:09e3fee8ab4d942d37afc1bf2e396da4594ea558","Organization;LegalEntity;Thing","Lehar Festival Bad Ischl","Lehar Festival Bad Ischl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0a1d9d827289071855587824329cce1d0c5cf167","Organization;LegalEntity;Thing","Verband der öffentlichen Wirtschaft und Gemeinwirtschaft Österreichs","Verband der öffentlichen Wirtschaft und Gemeinwirtschaft Österreichs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.voewg.at/","",""
"entity:0a5a6f0394f231f187f2ae0c576d104e491c4d65","Organization;LegalEntity;Thing","Verein zur Förderung von Kultur, Tourismus und Wirtschaft in Eisenstadt","Verein zur Förderung von Kultur, Tourismus und Wirtschaft in Eisenstadt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0ad7f020ca20024634806f2008fbaf7fee888520","Organization;LegalEntity;Thing","Naturfreunde Österreich, Ortsgruppe Hallstatt","Naturfreunde Österreich, Ortsgruppe Hallstatt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.naturfreunde.at/","",""
"entity:0ae83bf94689cfae24299cc3fcf9a634b62a61f0","Organization;LegalEntity;Thing","Landtag Salzburg","Landtag Salzburg","at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.salzburg.gv.at/","",""
"entity:0af9f261c39f3814312d1045efd9b271c210d042","Organization;LegalEntity;Thing","Gesellschaft für politisch-strategische Studien","Gesellschaft für politisch-strategische Studien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.strateg.at/","",""
"entity:0b0f5094eb6ef1e3c68f4bb212f0257be7d9c948","Organization;LegalEntity;Thing","Kuratorium für die Umfassende Landesverteidigung","Kuratorium für die Umfassende Landesverteidigung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.kulv.at/","",""
"entity:0b2e0703d2e582c702e045bee3377a459afed58b","Organization;LegalEntity;Thing","Regionalmarketing für Bad Tatzmannsdorf und das Südburgenland","Regionalmarketing für Bad Tatzmannsdorf und das Südburgenland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0b3fa273b49fc7190813ed47b916d80985e4fccb","Organization;LegalEntity;Thing","Verein zur Förderung der Infrastruktur der Gemeinde Freinberg","Verein zur Förderung der Infrastruktur der Gemeinde Freinberg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0bd15db6020381059ca78d490a854dc755c324fd","Organization;LegalEntity;Thing","KEM (Klima- & Energiemodellregion) Südkärnten","KEM (Klima- & Energiemodellregion) Südkärnten","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0bf496b6529251eefa62f68e6f2b270898e973d5","Organization;LegalEntity;Thing","Film*Art Institut","Film*Art Institut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.film-art.institute/","",""
"entity:0c2733cbc38656da9e31791202088c1f7b360847","Organization;LegalEntity;Thing","Zukunftsregion - Wiener Neustadt","Zukunftsregion - Wiener Neustadt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0c305cb4abcea8a87ced0912a3b9bc8fc0f19223","Organization;LegalEntity;Thing","Verein Innsbrucker Freundeskreis Ursulinen","Verein Innsbrucker Freundeskreis Ursulinen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.ursulinen.tsn.at/topmenu/freundeskreis/","",""
"entity:0c42717f5a38bba03e97a3ed4d827bd721a8284b","Organization;LegalEntity;Thing","Institut für Umwelt, Friede und Entwicklung","Institut für Umwelt, Friede und Entwicklung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.iufe.at/","",""
"entity:0c575722d50ed154c76d30e94e0810f3203dca4b","Organization;LegalEntity;Thing","Burgenländische juristische Gesellschaft","Burgenländische juristische Gesellschaft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0c636655ace0903caf852191b3b52935b25379b1","Organization;LegalEntity;Thing","VEREIN FÜR SOZIALGESCHICHTE DER MEDIZIN","VEREIN FÜR SOZIALGESCHICHTE DER MEDIZIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://homepage.univie.ac.at/sonia.horn/php/index.php?action=getContent&id1=1&id2=2&type1=category&type2=simple","",""
"entity:0c6db9b922499617b42d24c174d06b0f95cbba07","Organization;LegalEntity;Thing","Institut für projektbezogene Studiengänge","Institut für projektbezogene Studiengänge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0c72e2762ac0da7fa3c541db9bc97cd7ee433ef8","Organization;LegalEntity;Thing","Hilfswerk Sieghartskirchen","Hilfswerk Sieghartskirchen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0c7fbfe06bae10c226d111c14431f6e63dfde918","Organization;LegalEntity;Thing","Regionalverband Europaregion Weinviertel ""Verein zur Förderung der Regionalentwicklung in der Hauptregion Weinviertel""","Regionalverband Europaregion Weinviertel ""Verein zur Förderung der Regionalentwicklung in der Hauptregion Weinviertel""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.noeregional.at/?kat=43","",""
